user_id,signup_day,signup_hour,country,city,gender,age,device_type,acquisition_source,campaign_group,lifetime_sessions,sessions_last_7d,avg_session_minutes,notification_views,notification_clicks,used_free_trial,viewed_pricing_page,added_payment_method,support_interaction,positive_interaction,negative_interaction,wallet_balance,converted
100022,Tue,12,India,Chennai,Female,35.0,Android,affiliate,lookalike,3,3,4.34,4,0,0,0,0,0,0,0,275.77,0
100023,Thu,19,UAE,Pune,Male,36.0,Android,google,brand,4,1,0.76,4,0,0,0,0,0,0,0,30.87,0
100024,Fri,15,India,Bengaluru,Male,36.0,iOS,referral,generic,10,3,5.54,2,3,0,1,0,0,0,0,58.85,1
100025,Mon,17,United Kingdom,London,Male,34.0,Android,referral,none,9,1,8.48,1,1,0,1,0,0,0,0,43.24,0
100026,Thu,9,India,Bengaluru,Female,38.0,Android,meta,crm_push,6,1,4.62,6,0,1,0,0,0,0,0,179.26,0
100027,Tue,22,India,Mumbai,Male,34.0,Web,email,crm_push,7,1,1.13,2,0,0,1,0,0,0,0,688.9,0
100028,Sat,7,UAE,Mumbai,Male,28.0,Android,organic,crm_push,0,3,9.22,1,2,1,1,0,0,0,0,5.67,1
100029,Fri,17,India,Chennai,Male,25.0,Android,email,lookalike,6,0,12.73,0,2,1,1,0,0,1,0,105.35,0
100030,Thu,20,India,Pune,Female,29.0,Android,organic,none,2,2,4.26,6,1,0,0,0,0,1,0,36.71,0
100031,Mon,0,India,Hyderabad,Male,34.0,iOS,referral,crm_push,3,0,3.08,1,1,1,1,0,0,1,1,11.98,0
100032,Mon,22,India,Dubai,Male,28.0,Android,organic,generic,13,3,1.32,3,2,1,1,0,0,0,0,41.59,1
100033,Wed,7,United States,Mumbai,Female,34.0,Android,email,generic,5,5,5.69,2,2,1,1,0,0,0,0,503.26,1
100034,Wed,5,Australia,Hyderabad,Female,35.0,Android,organic,crm_push,2,2,11.25,1,0,0,0,0,0,0,0,35.4,1
100035,Sun,4,India,Delhi,Female,38.0,Android,referral,remarketing,6,1,1.37,2,2,0,1,0,0,1,0,25.99,1
100036,Tue,14,India,Mumbai,Male,41.0,Android,google,crm_push,6,3,0.65,3,2,1,1,0,0,0,0,149.75,1
100037,Thu,21,India,Mumbai,Male,32.0,Android,meta,remarketing,4,2,4.36,3,1,0,0,0,0,1,1,161.96,0
100038,Thu,14,United States,Pune,Female,21.0,Android,google,brand,8,2,1.39,2,0,0,0,0,0,0,0,33.1,0
100039,Sun,1,India,Chennai,Male,28.0,Android,google,brand,10,2,5.11,4,1,0,1,0,0,1,0,28.38,0
100040,Sat,0,India,Hyderabad,Female,31.0,Android,meta,generic,9,3,6.34,0,0,0,0,0,0,0,0,83.37,0
100041,Sat,22,India,London,Female,18.0,Android,affiliate,none,4,4,6.59,1,0,0,0,0,0,0,0,18.37,0
100042,Sun,22,India,Mumbai,Male,42.0,Android,organic,lookalike,3,1,7.83,2,3,0,0,0,0,0,0,52.88,0
100043,Sat,10,India,Mumbai,Female,32.0,Android,referral,none,6,1,14.37,3,1,0,0,0,0,0,0,12.19,0
100044,Wed,9,India,Pune,Female,34.0,Android,meta,generic,7,3,9.15,2,1,0,1,0,0,0,0,29.08,1
100045,Thu,17,India,Pune,Male,42.0,Android,email,generic,5,0,9.64,3,0,0,1,0,0,1,0,28.25,1
100046,Sun,17,India,Chennai,Female,26.0,Android,google,none,4,3,1.7,4,1,0,0,0,0,1,0,94.97,0
100047,Thu,16,Canada,Hyderabad,Male,36.0,iOS,google,lookalike,6,1,5.48,1,1,1,0,0,0,0,0,26.53,0
100048,Mon,7,United States,Delhi,Male,30.0,Android,referral,generic,5,0,11.74,5,0,0,0,0,0,0,0,183.01,0
100049,Wed,14,India,London,Male,30.0,Android,google,lookalike,5,1,3.36,6,1,0,0,0,0,0,0,326.18,0
100050,Fri,7,India,Chennai,Female,25.0,Android,meta,generic,1,0,8.89,4,0,0,0,0,0,1,0,6.76,0
100051,Wed,16,India,Dubai,Female,44.0,Android,organic,brand,6,0,16.78,5,0,1,1,0,0,0,0,40.55,0
100052,Sun,11,India,Delhi,Male,28.0,Web,organic,remarketing,4,2,2.37,1,2,0,1,0,0,0,0,28.74,1
100053,Fri,7,India,Bengaluru,Male,37.0,Android,meta,generic,4,2,1.36,8,0,0,1,0,0,0,0,34.71,0
100054,Mon,13,India,Mumbai,Female,18.0,Android,email,remarketing,2,1,6.71,4,0,1,1,0,0,0,0,24.67,1
100055,Sun,3,India,Hyderabad,Male,40.0,Android,meta,crm_push,5,0,4.87,3,1,0,1,0,0,0,0,38.59,0
100056,Tue,0,United States,Chennai,Female,39.0,Android,organic,generic,4,4,13.54,4,1,0,0,0,0,0,0,12.2,0
100057,Thu,0,India,Mumbai,Male,32.0,Android,google,brand,9,1,1.99,3,0,0,1,0,0,1,0,26.26,1
100058,Mon,18,India,Hyderabad,Male,29.0,Android,google,lookalike,4,3,11.41,4,1,0,1,0,0,0,0,110.21,1
100059,Thu,15,India,Hyderabad,Male,34.0,iOS,google,brand,0,1,4.71,7,0,1,0,0,0,0,0,33.73,0
100060,Sat,13,UAE,Hyderabad,Female,49.0,Android,referral,remarketing,11,0,2.95,3,0,0,1,1,0,1,0,18.64,1
100061,Tue,20,United Kingdom,Mumbai,Male,18.0,Android,email,lookalike,8,0,5.51,4,0,1,0,1,0,0,0,9.18,0
100062,Tue,15,United Kingdom,Chennai,Female,37.0,Android,organic,brand,7,1,3.91,6,0,0,1,0,0,0,0,34.22,0
100063,Mon,4,United Kingdom,London,Male,24.0,Android,referral,brand,6,2,5.24,6,1,0,0,0,0,0,0,82.49,0
100064,Tue,8,UAE,Pune,Male,31.0,Android,google,brand,3,1,11.06,6,1,0,0,1,0,1,0,23.37,0
100065,Fri,1,India,Mumbai,Male,29.0,Android,email,none,5,2,17.74,3,0,0,0,0,0,0,0,43.92,1
100066,Tue,17,India,Dubai,Female,28.0,iOS,organic,lookalike,6,2,4.95,2,0,0,1,0,0,0,0,243.59,0
100067,Thu,5,India,Hyderabad,Female,31.0,Android,meta,brand,3,2,7.07,3,1,1,1,0,0,0,0,64.3,0
100068,Thu,8,United States,Chennai,Male,22.0,iOS,organic,brand,5,1,10.0,4,1,1,0,0,0,1,0,60.73,0
100069,Sun,0,United States,London,Male,39.0,Android,google,remarketing,8,3,6.99,4,0,0,1,0,0,0,0,42.2,0
100070,Thu,8,India,Bengaluru,Male,18.0,iOS,organic,brand,6,1,3.12,3,0,0,0,0,0,0,0,65.11,0
100071,Sun,15,India,Dubai,Male,35.0,Android,organic,brand,7,2,6.32,1,1,0,0,0,0,0,0,333.7,0
100072,Thu,12,India,Delhi,Male,28.0,Android,organic,crm_push,4,0,4.86,3,0,1,0,0,0,0,0,23.42,0
100073,Fri,8,Australia,Dubai,Female,22.0,iOS,organic,lookalike,3,5,0.77,6,1,1,0,0,0,0,1,227.69,0
100074,Sun,20,India,Hyderabad,Female,33.0,Android,organic,crm_push,8,3,0.2,5,1,1,0,0,0,0,0,12.91,0
100075,Wed,12,India,Bengaluru,Male,19.0,iOS,email,none,1,6,6.31,2,2,0,1,1,0,1,0,9.42,1
100076,Sat,8,India,Pune,Male,31.0,iOS,organic,remarketing,5,1,2.64,4,2,1,0,0,0,0,0,85.06,0
100077,Mon,10,India,London,Female,20.0,Android,meta,crm_push,6,1,10.14,0,1,0,0,0,0,0,0,23.14,0
100078,Thu,3,Australia,London,Female,35.0,Android,organic,none,5,1,3.02,7,1,0,0,0,0,0,0,47.02,0
100079,Tue,1,India,Hyderabad,Male,24.0,Android,affiliate,generic,5,0,3.46,4,1,0,0,0,0,0,0,104.64,0
100080,Thu,5,United States,Dubai,Male,27.0,Web,affiliate,lookalike,5,4,8.57,2,1,1,0,0,1,1,0,61.23,0
100081,Tue,13,India,Dubai,Male,33.0,iOS,organic,brand,5,0,4.13,0,0,1,0,0,0,0,0,1.11,0
100082,Sat,3,India,London,Male,25.0,Android,meta,crm_push,6,2,2.54,2,2,1,0,0,0,0,0,29.2,0
100083,Sat,5,India,Bengaluru,Male,31.0,Android,organic,crm_push,5,4,7.52,1,3,1,1,0,0,0,0,5.35,0
100084,Sat,18,India,Hyderabad,Male,19.0,Android,affiliate,brand,5,3,22.08,3,0,0,0,0,0,0,0,208.42,0
100085,Tue,5,India,Mumbai,Female,36.0,Android,meta,brand,8,2,2.95,5,2,1,1,0,0,0,0,126.64,1
100086,Thu,1,India,Chennai,Male,45.0,Android,organic,remarketing,3,1,9.31,2,1,0,0,0,0,0,0,330.03,0
100087,Sat,17,India,Bengaluru,Male,53.0,Android,google,crm_push,5,2,8.25,4,1,0,0,0,0,0,0,173.1,0
100088,Fri,12,UAE,Chennai,Male,32.0,Android,organic,crm_push,3,2,19.36,3,1,0,1,0,0,0,0,51.6,0
100089,Sun,8,India,Mumbai,Female,37.0,Android,google,generic,3,1,11.72,3,0,1,0,1,0,1,0,171.37,1
100090,Tue,22,United Kingdom,Mumbai,Female,18.0,iOS,meta,none,7,2,5.23,7,2,1,1,0,0,0,0,89.29,1
100091,Tue,18,India,Chennai,Male,43.0,iOS,google,generic,4,2,7.4,4,1,0,0,1,1,0,0,59.49,0
100092,Thu,12,India,Bengaluru,Male,37.0,iOS,google,crm_push,4,0,1.1,3,1,0,0,0,0,0,0,37.04,0
100093,Tue,10,India,Chennai,Unknown,27.0,iOS,organic,generic,2,0,13.54,2,1,0,0,0,1,0,1,91.4,0
100094,Tue,0,India,Chennai,Male,41.0,Android,organic,crm_push,6,5,1.7,3,1,0,0,1,0,0,0,71.35,1
100095,Sat,23,India,Delhi,Male,29.0,Android,organic,lookalike,3,1,7.34,2,0,0,0,0,0,0,0,76.19,0
100096,Thu,21,India,Bengaluru,Male,27.0,Android,email,remarketing,7,7,7.31,1,0,0,1,0,0,0,0,40.84,1
100097,Sat,6,India,Dubai,Male,35.0,iOS,organic,generic,7,1,8.22,4,2,0,0,0,0,0,0,107.56,0
100098,Sun,20,Australia,Dubai,Male,22.0,Web,meta,crm_push,8,4,2.45,2,2,0,0,0,0,0,0,6.79,0
100099,Sun,14,India,Delhi,Female,39.0,iOS,google,generic,6,2,5.19,3,4,0,1,0,0,0,0,103.62,0
100100,Sat,0,United States,Hyderabad,Female,23.0,iOS,organic,none,7,0,8.81,1,0,1,0,0,1,0,0,104.97,0
100101,Sun,11,India,London,Male,23.0,Android,meta,remarketing,4,4,8.26,1,1,0,0,0,0,0,0,58.04,0
100102,Thu,6,India,Dubai,Female,24.0,Android,google,lookalike,7,2,18.53,2,1,1,1,0,0,0,0,24.44,1
100103,Mon,14,India,Chennai,Male,37.0,Android,google,brand,2,2,12.97,1,1,1,1,0,0,0,0,58.6,1
100104,Sat,20,India,Hyderabad,Male,26.0,Android,meta,brand,5,1,4.79,3,1,1,1,0,0,1,0,10.51,1
100105,Fri,18,India,Dubai,Female,20.0,Android,google,generic,3,0,4.66,0,0,0,0,0,0,0,0,26.85,0
100106,Fri,0,India,Bengaluru,Female,26.0,iOS,google,crm_push,7,1,2.85,4,0,0,0,0,0,0,0,43.76,0
100107,Tue,16,India,Chennai,Male,31.0,Android,meta,none,5,3,8.37,6,0,1,0,0,0,0,0,89.48,0
100108,Sun,16,India,London,Male,22.0,Android,meta,remarketing,7,2,1.11,5,1,0,1,0,0,0,0,16.58,0
100109,Fri,2,Canada,Hyderabad,Female,22.0,Android,organic,lookalike,9,4,1.31,2,0,0,1,0,0,0,0,13.77,0
100110,Tue,11,United Kingdom,Dubai,Female,48.0,Android,google,lookalike,6,0,7.8,4,2,1,0,1,0,0,0,74.88,0
100111,Mon,5,India,Dubai,Female,24.0,Android,organic,lookalike,5,0,10.83,0,0,0,0,0,1,1,0,91.04,0
100112,Thu,10,India,Pune,Male,28.0,Android,organic,brand,7,3,3.19,1,1,0,0,0,0,0,1,6.99,0
100113,Thu,2,India,Dubai,Male,28.0,Android,meta,remarketing,1,1,8.91,2,3,0,0,1,0,0,0,2.7,1
100114,Thu,7,India,Mumbai,Male,28.0,iOS,referral,brand,3,4,14.51,5,1,0,0,0,0,0,0,12.73,0
100115,Fri,13,India,Chennai,Male,36.0,Android,referral,generic,3,3,10.32,2,0,0,0,0,0,0,0,185.03,0
100116,Mon,13,India,London,Female,39.0,Android,organic,lookalike,11,3,7.05,3,0,0,0,0,0,0,0,89.34,0
100117,Fri,9,India,Mumbai,Male,29.0,iOS,google,remarketing,4,1,7.68,5,1,0,1,0,0,0,0,203.09,0
100118,Sun,1,India,Delhi,Male,21.0,iOS,meta,lookalike,2,5,8.61,2,0,1,0,1,0,0,0,87.42,1
100119,Fri,13,India,Hyderabad,Female,41.0,iOS,organic,brand,5,1,5.99,1,3,1,0,0,0,0,0,268.74,0
100120,Mon,8,United Kingdom,Dubai,Male,30.0,Android,email,brand,7,1,3.99,1,1,1,0,1,0,0,1,46.23,1
100121,Mon,2,United States,Delhi,Male,45.0,Android,email,brand,2,2,6.22,3,1,0,0,1,0,0,0,73.12,0
100122,Sun,20,India,London,Female,18.0,Android,referral,lookalike,5,0,3.82,3,1,1,0,0,0,1,0,73.54,0
100123,Mon,7,Australia,Chennai,Female,33.0,Android,organic,remarketing,2,1,10.5,5,3,0,1,0,0,0,0,0.25,0
100124,Mon,15,UAE,Mumbai,Female,46.0,iOS,organic,remarketing,1,1,6.01,1,1,0,1,0,0,1,0,2.23,0
100125,Thu,1,India,Mumbai,Male,28.0,Android,referral,generic,6,0,2.9,2,1,0,0,1,0,1,0,12.56,1
100126,Sun,5,India,Hyderabad,Female,29.0,Android,meta,lookalike,4,5,4.76,3,2,1,1,0,0,1,0,57.25,0
100127,Wed,20,India,Chennai,Female,33.0,Android,referral,generic,7,4,3.04,0,2,0,0,0,0,0,0,45.04,0
100128,Wed,11,UAE,Dubai,Male,27.0,Android,organic,none,7,0,14.85,5,0,1,1,0,0,1,0,62.08,1
100129,Mon,4,Canada,Pune,Male,29.0,Android,meta,generic,6,1,10.13,2,0,1,0,0,0,0,0,128.95,0
100130,Wed,1,India,Pune,Female,28.0,iOS,meta,generic,6,2,4.21,5,0,0,0,0,0,0,0,138.19,0
100131,Wed,15,India,Hyderabad,Male,26.0,iOS,organic,generic,6,3,3.64,2,0,1,0,0,0,0,0,301.83,0
100132,Mon,4,India,Chennai,Female,41.0,Web,meta,brand,7,3,4.16,5,2,0,1,0,1,0,0,65.23,1
100133,Wed,14,India,Hyderabad,Male,35.0,Android,meta,none,4,4,1.73,4,0,0,0,0,0,0,0,34.12,0
100134,Fri,11,India,Chennai,Male,33.0,Android,organic,generic,9,4,6.29,3,0,0,0,0,0,0,0,29.46,0
100135,Tue,3,Canada,London,Male,37.0,Android,organic,remarketing,4,2,2.05,2,0,1,1,0,0,1,0,33.33,1
100136,Sun,14,India,London,Female,29.0,Android,meta,generic,6,1,5.49,2,3,1,0,0,0,1,0,31.3,1
100137,Tue,10,United Kingdom,Delhi,Male,25.0,iOS,google,brand,7,5,10.05,4,2,0,1,0,1,0,0,39.93,0
100138,Mon,15,Canada,Dubai,Female,26.0,Android,referral,crm_push,4,1,14.12,3,1,0,0,0,0,0,0,6.23,0
100139,Thu,22,United States,Hyderabad,Female,31.0,iOS,google,none,6,6,3.82,5,2,0,1,0,1,0,0,80.29,0
100140,Sun,5,India,Dubai,Female,23.0,Android,organic,crm_push,2,3,3.59,1,2,0,0,0,0,0,0,67.15,0
100141,Mon,13,India,Chennai,Female,27.0,Android,affiliate,crm_push,6,1,1.56,3,1,1,1,0,0,0,1,49.59,1
100142,Thu,17,India,Pune,Female,27.0,Android,referral,none,4,1,8.56,1,0,1,0,0,0,1,0,6.77,0
100143,Tue,11,India,Dubai,Male,48.0,Android,organic,lookalike,3,2,5.6,3,1,1,1,0,0,1,0,7.83,1
100144,Mon,10,India,Chennai,Female,18.0,iOS,email,remarketing,3,4,3.11,4,1,1,0,1,0,1,0,63.02,0
100145,Sun,12,India,London,Female,30.0,Android,organic,brand,5,1,3.44,5,1,1,0,0,0,0,0,2.98,0
100146,Sun,20,India,Chennai,Male,45.0,iOS,organic,none,3,1,11.37,7,1,1,0,0,0,0,1,103.22,1
100147,Sat,22,India,Hyderabad,Male,32.0,iOS,organic,crm_push,4,4,0.57,2,3,0,0,1,0,0,0,406.37,0
100148,Fri,10,India,Delhi,Female,37.0,Android,organic,brand,3,0,12.81,4,1,0,0,0,0,0,0,72.79,0
100149,Wed,22,India,Delhi,Male,32.0,iOS,email,brand,6,1,2.8,0,1,1,1,0,0,1,0,102.82,0
100150,Thu,15,India,Delhi,Female,26.0,Android,email,lookalike,9,3,9.34,3,2,0,1,0,0,1,0,46.23,1
100151,Sat,14,United States,Delhi,Male,18.0,Android,affiliate,crm_push,5,2,2.17,1,1,1,0,0,0,0,0,88.07,0
100152,Wed,20,India,London,Male,33.0,iOS,email,generic,6,0,7.28,2,0,1,0,0,0,1,0,84.39,0
100153,Wed,14,India,Bengaluru,Female,25.0,Web,google,brand,4,1,4.85,2,1,1,1,0,0,0,0,139.02,0
100154,Mon,3,India,Dubai,Male,25.0,Android,email,crm_push,3,2,12.63,3,1,0,1,0,1,0,0,99.4,0
100155,Wed,10,India,Hyderabad,Male,27.0,Android,affiliate,brand,9,1,4.69,1,0,0,0,0,0,0,0,110.6,0
100156,Fri,18,India,Mumbai,Female,45.0,Android,email,lookalike,3,0,13.52,1,1,0,0,0,0,0,0,65.07,0
100157,Sun,14,Australia,Hyderabad,Male,50.0,Android,email,lookalike,9,1,4.13,3,2,1,0,1,0,0,0,53.01,1
100158,Sat,3,India,Bengaluru,Female,33.0,iOS,affiliate,generic,4,3,8.98,1,1,1,1,0,0,0,0,49.1,1
100159,Wed,20,India,Delhi,Female,27.0,iOS,organic,lookalike,8,0,10.28,2,1,0,0,0,0,0,0,39.81,1
100160,Mon,12,India,Bengaluru,Female,22.0,Android,email,crm_push,3,3,4.59,4,0,0,1,0,0,0,0,24.74,0
100161,Fri,21,India,Pune,Male,35.0,Android,referral,none,3,3,5.7,1,2,1,0,0,0,0,1,2.71,0
100162,Tue,18,India,Pune,Male,45.0,Android,affiliate,lookalike,5,2,1.67,1,2,0,0,0,0,1,0,88.96,0
100163,Sun,1,India,Dubai,Female,29.0,Android,organic,none,8,1,6.83,3,1,1,1,0,0,1,0,184.98,1
100164,Sun,13,India,London,Female,18.0,Android,meta,generic,3,4,9.38,2,1,0,0,1,0,0,0,213.29,0
100165,Sat,3,India,Hyderabad,Female,36.0,Android,email,remarketing,4,1,14.4,1,0,1,0,1,0,0,0,69.51,0
100166,Sun,15,India,Hyderabad,Female,39.0,iOS,organic,brand,8,3,9.9,1,0,0,0,0,1,0,0,7.91,0
100167,Wed,20,India,Mumbai,Male,18.0,Android,meta,brand,3,1,6.36,1,0,0,0,1,0,0,0,168.74,1
100168,Mon,19,India,London,Male,32.0,Android,organic,crm_push,3,3,4.42,2,0,0,1,0,0,0,0,110.19,0
100169,Sun,13,UAE,Mumbai,Male,35.0,iOS,google,generic,2,2,5.33,1,1,1,0,1,0,0,0,23.17,1
100170,Sun,14,India,Pune,Male,30.0,Android,google,generic,7,2,4.7,4,1,0,0,0,0,1,0,130.19,0
100171,Tue,2,India,Delhi,Male,25.0,Android,meta,generic,2,3,10.7,1,1,1,0,0,0,0,0,51.09,0
100172,Tue,7,India,Bengaluru,Female,39.0,Android,google,brand,6,0,12.8,4,1,0,0,0,0,0,0,174.85,0
100173,Thu,15,India,Mumbai,Male,28.0,Android,google,lookalike,5,2,4.65,5,0,1,0,0,0,0,0,22.76,1
100174,Fri,9,India,Chennai,Male,19.0,Android,google,brand,6,3,7.99,3,2,0,0,0,0,0,0,129.12,1
100175,Wed,3,India,Mumbai,Male,18.0,Android,organic,brand,2,2,5.09,5,0,0,0,0,0,1,0,99.56,0
100176,Sun,17,India,Delhi,Female,41.0,iOS,organic,brand,10,4,1.31,1,1,0,0,0,1,0,0,1.16,0
100177,Sun,1,India,Delhi,Female,36.0,iOS,organic,lookalike,3,5,2.02,5,1,0,0,0,0,0,0,66.29,0
100178,Mon,16,India,Hyderabad,Female,32.0,Android,meta,remarketing,6,3,2.97,3,0,0,0,0,0,1,0,100.57,1
100179,Thu,12,India,Bengaluru,Female,27.0,Android,email,crm_push,5,0,5.1,3,1,0,0,0,0,0,0,13.61,0
100180,Fri,3,Canada,Delhi,Male,27.0,Android,organic,remarketing,7,0,6.55,4,2,1,1,0,0,1,0,60.73,0
100181,Thu,10,India,London,Female,22.0,Android,organic,remarketing,6,1,14.55,2,1,0,1,0,0,0,0,29.0,1
100182,Sat,6,India,Mumbai,Male,28.0,Android,email,brand,7,3,5.83,3,1,0,1,1,0,0,0,95.32,1
100183,Fri,11,India,Mumbai,Male,18.0,Android,google,remarketing,4,1,6.02,2,0,0,0,0,0,0,0,62.15,0
100184,Sun,9,India,Pune,Female,25.0,Android,affiliate,brand,7,1,9.35,4,1,0,1,0,0,0,0,77.71,0
100185,Sun,6,India,Delhi,Female,29.0,iOS,email,brand,2,3,2.17,3,2,0,0,0,0,0,0,6.02,0
100186,Fri,12,India,Chennai,Male,36.0,Android,google,crm_push,6,3,6.61,1,1,1,0,1,0,0,0,11.86,1
100187,Sun,6,India,Hyderabad,Male,31.0,iOS,google,generic,7,0,8.77,3,0,0,0,0,0,0,0,64.25,0
100188,Wed,23,India,Bengaluru,Female,37.0,iOS,meta,brand,5,2,4.15,4,1,1,0,0,0,0,0,15.99,1
100189,Fri,16,India,Chennai,Male,42.0,Android,organic,remarketing,4,2,5.44,0,0,0,0,0,1,0,0,55.24,0
100190,Thu,9,India,Hyderabad,Male,39.0,iOS,organic,crm_push,5,3,4.55,3,2,0,0,0,1,1,0,93.7,0
100191,Fri,9,Australia,Mumbai,Male,35.0,iOS,organic,none,2,1,4.16,2,2,1,1,1,0,0,0,132.76,1
100192,Sun,23,India,Chennai,Male,31.0,Android,email,none,8,1,6.26,3,1,0,0,0,0,0,0,12.35,0
100193,Wed,3,India,Hyderabad,Female,23.0,Android,meta,none,5,1,10.76,1,2,0,0,0,0,0,0,108.35,0
100194,Wed,19,India,Mumbai,Male,37.0,Android,organic,remarketing,6,1,7.71,1,0,0,0,0,0,0,0,36.1,0
100195,Sat,3,India,Mumbai,Male,44.0,Web,meta,generic,5,4,12.31,4,0,1,0,0,0,0,0,90.89,1
100196,Thu,21,United States,Mumbai,Male,34.0,Android,google,lookalike,6,2,4.13,3,0,0,0,0,0,0,0,12.56,0
100197,Tue,6,India,Mumbai,Female,46.0,Android,meta,generic,8,2,8.11,5,2,1,0,0,0,0,0,57.92,0
100198,Tue,21,India,London,Male,19.0,iOS,organic,crm_push,7,4,6.86,2,1,0,0,1,0,0,0,145.4,1
100199,Fri,0,India,Mumbai,Male,22.0,Android,meta,generic,0,2,10.65,3,0,0,1,0,0,0,0,9.0,0
100200,Sat,11,India,Pune,Male,38.0,Android,affiliate,none,4,1,8.42,2,0,0,0,0,0,1,0,140.67,0
100201,Mon,23,India,Chennai,Female,33.0,iOS,organic,generic,7,1,11.94,1,2,0,0,0,0,1,0,48.23,0
100202,Fri,12,India,Hyderabad,Female,42.0,Android,google,crm_push,7,8,3.5,3,0,0,1,0,0,0,0,138.65,0
100203,Sat,9,India,Pune,Female,31.0,iOS,organic,crm_push,2,0,14.8,1,0,1,0,0,0,0,0,254.35,0
100204,Thu,14,United States,London,Female,24.0,iOS,organic,none,3,3,4.14,2,0,1,0,0,0,0,0,13.92,0
100205,Thu,12,India,Dubai,Female,29.0,Android,google,remarketing,9,4,3.79,3,0,0,0,0,0,1,0,89.81,0
100206,Thu,22,United Kingdom,Dubai,Female,19.0,Android,email,brand,7,4,7.89,3,0,1,0,0,0,0,0,21.44,0
100207,Thu,21,United Kingdom,Pune,Male,22.0,iOS,referral,lookalike,8,2,0.87,2,1,1,0,0,0,0,0,11.65,0
100208,Thu,21,United Kingdom,Delhi,Male,39.0,Web,organic,lookalike,4,2,5.45,4,1,0,1,0,0,1,0,79.13,0
100209,Sat,20,India,Delhi,Unknown,38.0,Android,meta,none,2,2,3.18,1,1,0,0,0,0,0,0,9.14,0
100210,Sat,21,India,Delhi,Male,34.0,Android,meta,lookalike,6,4,2.51,2,1,0,0,0,0,0,0,50.06,0
100211,Wed,8,United States,Bengaluru,Male,18.0,Android,meta,generic,2,2,3.14,4,2,0,1,0,1,0,1,80.84,0
100212,Tue,8,India,Delhi,Female,28.0,iOS,google,crm_push,4,1,4.03,1,0,1,1,0,0,1,0,55.39,0
100213,Sun,14,India,Hyderabad,Male,21.0,iOS,organic,crm_push,9,2,3.15,3,0,0,0,0,0,0,0,95.54,1
100214,Thu,9,Canada,Pune,Female,40.0,Android,google,none,4,2,2.36,4,0,1,0,0,0,0,0,129.32,0
